image_file,label,text
site_00001.png,unknown,
site_00002.png,unknown,
site_00003.png,unknown,
site_00004.png,unknown,
site_00005.png,unknown,
site_00008.png,unknown,
site_00009.png,unknown,
site_00010.png,unknown,
site_00011.png,unknown,
site_00012.png,unknown,
site_00013.png,unknown,
site_00014.png,unknown,
site_00015.png,unknown,
site_00017.png,unknown,
site_00018.png,unknown,
site_00019.png,unknown,
site_00020.png,unknown,
site_00021.png,unknown,
site_00022.png,unknown,
site_00023.png,unknown,
site_00024.png,unknown,
site_00025.png,unknown,
site_00026.png,unknown,
site_00027.png,unknown,
site_00028.png,unknown,
site_00029.png,unknown,
site_00030.png,unknown,
site_00031.png,unknown,
site_00032.png,unknown,
site_00033.png,unknown,
site_00035.png,unknown,
site_00036.png,unknown,
site_00037.png,unknown,
site_00039.png,unknown,
site_00040.png,unknown,
site_00042.png,unknown,
site_00043.png,unknown,
site_00044.png,unknown,
site_00046.png,unknown,
site_00047.png,unknown,
site_00048.png,unknown,
site_00049.png,unknown,
site_00050.png,unknown,
site_00053.png,unknown,
site_00055.png,unknown,
site_00056.png,unknown,
site_00057.png,unknown,
site_00058.png,unknown,
site_00059.png,unknown,
site_00060.png,unknown,
site_00061.png,unknown,
site_00062.png,unknown,
site_00063.png,unknown,
site_00064.png,unknown,
site_00065.png,unknown,
site_00066.png,unknown,
site_00067.png,unknown,
site_00068.png,unknown,
site_00069.png,unknown,
site_00071.png,unknown,
site_00074.png,unknown,
site_00075.png,unknown,
site_00076.png,unknown,
site_00077.png,unknown,
site_00080.png,unknown,
site_00081.png,unknown,
site_00082.png,unknown,
site_00083.png,unknown,
site_00085.png,unknown,
site_00087.png,unknown,
site_00089.png,unknown,
site_00091.png,unknown,
site_00092.png,unknown,
site_00093.png,unknown,
site_00094.png,unknown,
site_00095.png,unknown,
site_00096.png,unknown,
site_00097.png,unknown,
site_00098.png,unknown,
site_00099.png,unknown,
site_00100.png,unknown,
site_00101.png,unknown,
site_00102.png,unknown,
site_00103.png,unknown,
site_00105.png,unknown,
site_00106.png,unknown,
site_00107.png,unknown,
site_00108.png,unknown,
site_00109.png,unknown,
site_00111.png,unknown,
site_00112.png,unknown,
site_00113.png,unknown,
site_00115.png,unknown,
site_00116.png,unknown,
site_00117.png,unknown,
site_00119.png,unknown,
site_00121.png,unknown,
site_00122.png,unknown,
site_00123.png,unknown,
site_00124.png,unknown,
site_00125.png,unknown,
site_00126.png,unknown,
site_00128.png,unknown,
site_00129.png,unknown,
site_00131.png,unknown,
site_00132.png,unknown,
site_00134.png,unknown,
site_00135.png,unknown,
site_00136.png,unknown,
site_00137.png,unknown,
site_00138.png,unknown,
site_00139.png,unknown,
site_00141.png,unknown,
site_00143.png,unknown,
site_00144.png,unknown,
site_00145.png,unknown,
site_00146.png,unknown,
site_00147.png,unknown,
site_00148.png,unknown,
site_00150.png,unknown,
site_00151.png,unknown,
site_00152.png,unknown,
site_00153.png,unknown,
site_00154.png,unknown,
site_00155.png,unknown,
site_00157.png,unknown,
site_00158.png,unknown,
site_00160.png,unknown,
site_00161.png,unknown,
site_00162.png,unknown,
site_00163.png,unknown,
site_00165.png,unknown,
site_00166.png,unknown,
site_00167.png,unknown,
site_00168.png,unknown,
site_00169.png,unknown,
site_00171.png,unknown,
site_00172.png,unknown,
site_00173.png,unknown,
site_00174.png,unknown,
site_00175.png,unknown,
site_00176.png,unknown,
site_00177.png,unknown,
site_00178.png,unknown,
site_00179.png,unknown,
site_00180.png,unknown,
site_00182.png,unknown,
site_00183.png,unknown,
site_00186.png,unknown,
site_00187.png,unknown,
site_00190.png,unknown,
site_00191.png,unknown,
site_00192.png,unknown,
site_00193.png,unknown,
site_00194.png,unknown,
site_00195.png,unknown,
site_00196.png,unknown,
site_00197.png,unknown,
site_00198.png,unknown,
site_00199.png,unknown,
site_00202.png,unknown,
site_00203.png,unknown,
