site_id,url,text,prob_dark,label
site_00220,https://sightsnhounds.com,Sights & Hounds Photography,0.5,1
site_00221,https://silvermoonphotography.com,SILVER MOON,0.5,1
site_00222,https://silvex.pt,SILVEX,0.5,1
site_00224,https://siyandza.co.za,Siyandza,0.5,1
site_00225,https://slimfast.co.uk,COOKIES...,0.5,1
site_00228,https://sofrecom.com,Sofrecom,0.5,1
site_00229,https://sortimo.cz,Akce,0.5,1
site_00230,https://source1parts.com,SOURCE 1,0.5,1
site_00232,https://speedyhen.com,SPEEDY HEN,0.5,1
site_00233,https://sprayervalves.com,TIR,0.5,1
site_00234,https://springerinsurance.com,Claims,0.5,1
site_00235,https://squirrel.co.nz,Squirrel,0.5,1
site_00236,https://staceypalmphotography.com,Stacey Palm PHOTOGRAPHY,0.5,1
site_00237,https://standforanimals.org,STAND FOR,0.5,1
site_00238,https://steinbild-collection.com,Jetzt persönliche und kostenlose Designberatung buchen →,0.5,1
site_00239,https://stevensinc.com,Menu icon,0.5,1
site_00241,Unknown,Strongvox Homes,0.5,1
site_00243,https://studyqueensland.qld.gov.au,Close,0.5,1
site_00246,https://surveycabin.com,LET'S GET STARTED,0.5,1
site_00247,https://svph.org.au,Private,0.5,1
site_00249,https://teamuprecruitment.com,team up,0.5,1
site_00250,https://thebluelens.com,Brian Brooks Photography,0.5,1
site_00252,https://threeriversvetgroup.co.uk,Out of Hours,0.5,1
site_00253,https://tierarztpraxis-in-seligenstadt.de,EVIDENSIA TIERÄRZTLICHE GEMEINSCHAFTSPRAXIS IN SELIGENSTADT,0.5,1
site_00254,https://tkannah.com,العربية,0.5,1
site_00255,https://tomarobots.com,PREMIER TECH,0.5,1
site_00256,https://townsvilleexpo.com.au,EXHIBITOR ENQUIRIES,0.5,1
site_00258,https://tracksideslides.com,RAILROAD CROSSING,0.5,1
site_00261,https://tspgameplan.com,TSP GAME PLAN,0.5,1
site_00262,https://tsplivetickets.com,TSP LIVE,0.5,1
site_00263,https://tumbleweedplants.com,Login to unlock members rewards!,0.5,1
site_00265,https://tuscano.com,Tuscano,0.5,1
site_00266,https://urbanprojectstore.com,URBANPROJECT,0.5,1
site_00267,https://urbanpulsephotography.com,Your connection is not private,0.5,1
site_00269,https://veritaneuro.com,VERITA NEURO,0.5,1
site_00270,https://veva.com.pl,VEVA DEVELOPMENT,0.5,1
site_00271,https://vilisoft.com,Vii!,0.5,1
site_00272,https://villagevetshydrotherapy.co.uk,VILLAGE,0.5,1
site_00273,https://villapottery.nl,"Alle collecties uit voorraad leverbaar, bestel eenvoudig online!",0.5,1
site_00274,https://vincihairclinic.com,Welcome to Vinci Hair Clinic!,0.5,1
site_00275,https://vjmglobalpartners.com,VJMGLOBAL,0.5,1
site_00276,https://vmjewelers.com,My Account | Wishlist,0.5,1
site_00278,https://wavehealthcare.com,Online Bill Pay,0.5,1
site_00279,https://wcvt.com,SERVICES,0.5,1
site_00282,https://wevalue.consulting,ADN,0.5,1
site_00283,https://white-open.com,MÄNNER,0.5,1
site_00284,https://wolterinc.com,X,0.5,1
site_00286,https://woodfordfolkfestival.com,ABOUT,0.5,1
site_00287,https://workwithsurge.com,SURGE,0.5,1
site_00288,https://xpertise-recruitment.com,XPERTISE,0.5,1
site_00289,https://yourmood.es,mood,0.5,1
site_00291,https://zoosk-mailing.com,Zoosk,0.5,1
site_00292,https://zoosk-singles.com,zoosk,0.5,1
site_00293,https://zoosk-singles-mailing.com,Zoosk,0.5,1
site_00294,https://10uur.nl,10uur,0.5,1
site_00295,https://1global.com.hk,1st,0.5,1
site_00296,https://acd.org.au,ACD,0.5,1
site_00297,https://acreworkplace.com,acre,0.5,1
site_00298,https://admpressings.co.uk,404,0.5,1
site_00299,https://allianceitllc.com,f,0.5,1
site_00300,https://artis.works,Welcome to the Home of Modern Trading,0.5,1
site_00304,https://beenux.com,BEENUX,0.5,1
site_00305,https://bestspots.guide,Best Spots!,0.5,1
site_00307,https://blackfords.com,BLACKFORDS,0.5,1
site_00308,https://bridge2rwanda.org,BRIDGE2,0.5,1
site_00309,https://b-sadvisors.com,ShareFile,0.5,1
site_00311,https://budgetair.co.uk,BudgetAir.co.uk,0.5,1
site_00312,https://cannabissommelier.com,canna reps,0.5,1
site_00313,https://carolpriest.com,SKINCARE,0.5,1
site_00314,https://cavalordirect.co.uk,CAVALOR,0.5,1
site_00315,https://cfoforhire.com,"CFO FOR HIRE, LLC",0.5,1
site_00316,https://cheaptickets.de,CheapTickets.de,0.5,1
site_00317,https://chesapeakebay.net,Chesapeake Bay Program,0.5,1
site_00318,https://childressca.com,CHILDRESS CAPITAL ADVISORS,0.5,1
site_00319,https://cjhole.co.uk,cj HOLE,0.5,1
site_00320,https://clubedaposta.com,CLUBE DA,0.5,1
site_00321,https://cmhworks.com,CMHWorks,0.5,1
site_00322,https://communitysure.com,COMMUNITY INSURANCE,0.5,1
site_00323,https://coniche.nl,c.niche,0.5,1
site_00324,https://copysur.es,COPYSUR,0.5,1
site_00325,https://creativepro.com,CreativePro,0.5,1
site_00326,https://creditflux.com,Debtwire,0.5,1
site_00327,https://cubitt.com.pa,Los pedidos realizados desde el viernes 13 de febrero desde las 04:00pm serán procesados el miércoles 18.,0.5,1
site_00328,https://dejong-law.com,DE/JONG LAW,0.5,1
site_00329,https://dominus.co.uk,dominus,0.5,1
site_00433,https://sozialfactoring.de,Flexible,0.5,1
site_00434,https://sra.nl,Kwaliteit die verbindt,0.5,1
site_00436,https://swast.nhs.uk,Accessibility tools,0.5,1
site_00437,https://thebabysittingcourse.com,THE BABYSITTING COURSE,0.5,1
site_00438,https://theshemark.com,SHE,0.5,1
site_00439,https://thinkformlaw.com,namecheap,0.5,1
site_00440,https://tlgraphic.com,T&L graphic systems,0.5,1
site_00441,https://totogroup.ru,8 (812) 332-54-08,0.5,1
site_00443,https://unitedr2.com,UNITED,0.5,1
site_00444,https://urbanfitnessoakland.com,OPEN REGISTRATION: THE 6 WEEK KICKSTART,0.5,1
site_00445,https://vestahandyman.com,844-VESTANOW,0.5,1
site_00446,https://virtualagencysolutions.com,virtual,0.5,1
site_00447,https://visitleeds.co.uk,Conference,0.5,1
site_00448,https://vivastore.qa,Welcome to VivaStore,0.5,1
site_00449,https://vliegwinkel.nl,vliegwinkel.nl,0.5,1
site_00451,https://votreappliquemurale.com,20 % sur tout avec le code SOLDE2026 afin de dénicher vos plus belles appliques pendant les soldes de début 2026 !,0.5,1
site_00452,https://warmbeach.com,Warm Beach,0.5,1
site_00453,https://whisp.ai,whisp,0.5,1
site_00454,https://widelab.ru,Your connection is not private,0.5,1
site_00455,https://wizecaredev.com,Wizecare,0.5,1
site_00456,https://yirranmaplace.com,"Yirranma Place acknowledges that we work, live and play on the stolen land of the Gadigal People of the Eora Nation, who are the traditional custodians of Darlinghurst. Yirranma pays respect to the elders past, present and future of the Eora Nation and extends that respect to other Aboriginal and Torres Strait people.",0.5,1
site_00457,https://zipcourier.ca,zip Courier,0.5,1
site_00458,https://39it.co.uk,39it.co.uk,0.5,1
site_00459,https://abductionnye.com,Abduction,0.5,1
site_00460,https://abfprints.com,909-500-1124,0.5,1
site_00461,https://actperformancesolutions.com,ACT PERFORMANCE SOLUTIONS,0.5,1
site_00462,https://advance.online,01244 564 564,0.5,1
site_00463,https://aero-tech.com.au,AEROTECH,0.5,1
site_00464,https://aforabhishek.com,Abhishek Gupta,0.5,1
site_00465,https://agropestcontrol.de,apc,0.5,1
site_00466,https://agropestcontrol.nl,APC Login,0.5,1
site_00467,https://albertkinng.com,AKCS LLC,0.5,1
site_00469,https://alpensigns.co.uk,alpen signs,0.5,1
site_00470,https://americantopattorneys.com,AMERICAN TOP ATTORNEYS™,0.5,1
site_00471,https://andromede.fr,ANDROMEDE,0.5,1
site_00472,https://anotherfox.com,← SHOPIFY,0.5,1
site_00473,https://antognolla.com,ANTOGNOLLA,0.5,1
site_00474,https://artesiageneral.com,We're Upgrading! Pardon the dust—Memorial Family Practice is currently accessible only via the ER Entrance.,0.5,1
site_00475,https://artisticimprints.com,Artistic Imprints,0.5,1
site_00478,https://axian-group.com,AXIAN,0.5,1
site_00480,https://beastiehut.com,BeastieHut,0.5,1
site_00481,https://bentec.com,BENTEC,0.5,1
site_00482,https://beyond-pos.de,BEYONDPOS,0.5,1
site_00483,https://bgmusicshop.bg,info@bgmusicshop.bg,0.5,1
site_00484,https://biosetzlinge.ch,VEG AND THE CITY,0.5,1
site_00485,https://bios-it.com.au,BIOS IT,0.5,1
site_00486,https://birminghamheadandneckclinic.com,BIRMINGHAM HEAD AND NECK CLINIC,0.5,1
site_00487,https://birminghammenopauseclinic.com,BIRMINGHAM,0.5,1
site_00488,https://birminghampelvicfloorclinic.com,BIRMINGHAM PELVIC FLOOR CLINIC,0.5,1
site_00489,https://birminghamurologycentre.com,BIRMINGHAM,0.5,1
site_00490,https://blattfreunde.ch,Schweizer Onlineshop,0.5,1
site_00491,https://blees.co,BLEES,0.5,1
site_00492,https://boo-halloween.com,BOO,0.5,1
site_00493,https://britespandomes.com,BRITESPAN DOMES,0.5,1
site_00494,https://builtonpurposehq.com,Built on Purpose,0.5,1
site_00495,https://buyspotify.xyz,Your connection is not private,0.5,1
site_00497,https://cabinridgemarket.com,Our store is presently in development - Ordering is not active at this time. Coming soon....,0.5,1
site_00498,https://calisson.com,"Due to a nationwide outage of the Colissimo website, only Chronopost delivery is currently available until the service is restored.",0.5,1
site_00500,https://carniraw.co.uk,Carniraw Ltd,0.5,1
site_00502,https://ceopolicy.org,THE BUSINESS OPPORTUNITY BLUEPRINT,0.5,1
site_00503,https://chakardar.com,07714 065 078,0.5,1
site_00504,https://chemodex.co.uk,CHEMODEX,0.5,1
site_00505,https://cityviewvehicles.com,CITY VIEW,0.5,1
site_00506,https://cnc-ebusiness.com,CNC,0.5,1
site_00507,https://coachingav.de,WIX.com,0.5,1
site_00509,https://codecrafterslabs.com,CODECRAFTERS LABS,0.5,1
site_00510,https://coloplast.ae,Your connection is not private,0.5,1
site_00511,https://coloplast.com.eg,Your connection is not private,0.5,1
site_00512,https://comoprint.com,Imprimé en France - Livraison offerte,0.5,1
site_00513,https://conceptmedical.com,CM,0.5,1
site_00514,https://consultants-immobilier.com,CONSULTANTS IMMOBILIER,0.5,1
site_00516,https://creativelabamsterdam.com,New collection just dropped!,0.5,1
